quantity,unit,ingredient,ingredient_step,recipe_id
30.0,ml,lime juice,2,183
30.0,ml,marie brizard apry,0,185
30.0,ml,sloe gin,1,185
30.0,ml,lime juice,2,185
37.5,ml,green chartreuse,0,186
30.0,ml,pineapple juice,1,186
22.5,ml,lime juice,2,186
15.0,ml,velvet falernum,3,186
60.0,ml,gin,0,188
22.5,ml,cherry heering,1,188
7.5,ml,crème de cassis,2,188
22.5,ml,lemon juice,3,188
7.5,ml,simple syrup,4,188
,None,lemon wedge,5,188
,None,maraschino cherry,6,188
,None,mint sprig,7,188
30.0,ml,gold tequila,0,189
30.0,ml,cherry brandy,1,189
15.0,ml,lime juice,2,189
30.0,ml,apple juice,3,189
,None,lime twist,4,189
22.5,ml,amaretto,0,190
22.5,ml,baileys irish cream,1,190
22.5,ml,dark crème de cacao,2,190
45.0,ml,gold tequila,0,191
22.5,ml,godiva liqueur,1,191
15.0,ml,cointreau,2,191
30.0,ml,sweet-and-sour,3,191
7.5,ml,orange juice,4,191
60.0,ml,dolin dry vermouth,0,192
22.5,ml,benedictine,1,192
7.5,ml,vieux pontarlier absinthe,2,192
1.0,dash,house orange bitters,3,192
45.0,ml,bourbon,0,194
30.0,ml,brandy,1,194
15.0,ml,triple sec,2,194
120.0,ml,chilled ginger ale,3,194
1.0,None,"lime, quartered",0,195
1.0,tbsp,honey,1,195
30.0,ml,damiana liqueur,2,195
45.0,ml,rum barbancourt,3,195
90.0,ml,tangerine juice,4,195
30.0,ml,gin,0,197
30.0,ml,dry vermouth,1,197
15.0,ml,triple sec,2,197
15.0,ml,apricot brandy,3,197
37.5,ml,gin,0,199
37.5,ml,rose’s lime juice,1,199
,None,lime wedge,2,199
75.0,ml,blended scotch,0,202
15.0,ml,sweet vermouth,1,202
,dash,angostura bitters,2,202
,None,maraschino cherry,3,202
45.0,ml,silver tequila,0,203
,None,lime wedge,1,203
,None,kosher salt,2,203
1.0,None,/2 oz. gin,0,205
15.0,ml,yellow chartreuse,1,205
15.0,ml,grapefruit juice,2,205
7.5,ml,simple syrup,3,205
22.5,ml,lemon juice,4,205
60.0,ml,plymouth gin,0,206
22.5,ml,yellow chartreuse,1,206
22.5,ml,grapefruit juice,2,206
22.5,ml,lemon juice,3,206
45.0,ml,gin,0,208
22.5,ml,simple syrup,1,208
22.5,ml,lemon juice,2,208
7.5,ml,raspberry syrup,3,208
2.0,tsp,egg white,4,208
60.0,ml,gin,0,209
22.5,ml,lemon juice,1,209
22.5,ml,simple syrup,2,209
5.0,None,raspberries,3,209
